animal,cohort,session_date,datetime,path,filename,sex,strain,stage
1033993,2,20260312,2026-03-12 12:36:22,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033993\Behavior\20260312\AdaptSensorimotor_1033993_20260312_123622_boxEphys.csv,AdaptSensorimotor_1033993_20260312_123622_boxEphys.csv,M,Fezf2,naive
1033993,2,20260323,2026-03-23 09:31:48,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033993\Behavior\20260323\AdaptSensorimotor_1033993_20260323_093148_boxEphys.csv,AdaptSensorimotor_1033993_20260323_093148_boxEphys.csv,M,Fezf2,trained
1033993,2,20260325,2026-03-25 09:54:50,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033993\Behavior\20260325\AdaptSensorimotor_1033993_20260325_095450_boxEphys.csv,AdaptSensorimotor_1033993_20260325_095450_boxEphys.csv,M,Fezf2,trained
1033996,2,20260311,2026-03-11 12:04:26,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033996\Behavior\20260311\AdaptSensorimotor_1033996_20260311_120426_boxEphys.csv,AdaptSensorimotor_1033996_20260311_120426_boxEphys.csv,F,Fezf2,naive
1033996,2,20260313,2026-03-13 12:20:23,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033996\Behavior\20260313\AdaptSensorimotor_1033996_20260313_122023_boxEphys.csv,AdaptSensorimotor_1033996_20260313_122023_boxEphys.csv,F,Fezf2,naive
1033996,2,20260324,2026-03-24 09:05:22,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033996\Behavior\20260324\AdaptSensorimotor_1033996_20260324_090522_boxEphys.csv,AdaptSensorimotor_1033996_20260324_090522_boxEphys.csv,F,Fezf2,trained
1033996,2,20260326,2026-03-26 10:01:03,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033996\Behavior\20260326\AdaptSensorimotor_1033996_20260326_100103_boxEphys.csv,AdaptSensorimotor_1033996_20260326_100103_boxEphys.csv,F,Fezf2,trained
1033998,2,20260304,2026-03-04 13:12:12,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033998\Behavior\20260304\AdaptSensorimotor_1033998_20260304_131212_boxEphys.csv,AdaptSensorimotor_1033998_20260304_131212_boxEphys.csv,F,Fezf2,naive
1033998,2,20260306,2026-03-06 12:36:42,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033998\Behavior\20260306\AdaptSensorimotor_1033998_20260306_123642_boxEphys.csv,AdaptSensorimotor_1033998_20260306_123642_boxEphys.csv,F,Fezf2,naive
1033999,2,20260310,2026-03-10 12:49:34,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033999\Behavior\20260310\AdaptSensorimotor_1033999_20260310_124934_boxEphys.csv,AdaptSensorimotor_1033999_20260310_124934_boxEphys.csv,F,Fezf2,naive
1033999,2,20260312,2026-03-12 10:00:10,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033999\Behavior\20260312\AdaptSensorimotor_1033999_20260312_100010_boxEphys.csv,AdaptSensorimotor_1033999_20260312_100010_boxEphys.csv,F,Fezf2,naive
1033999,2,20260323,2026-03-23 12:20:59,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033999\Behavior\20260323\AdaptSensorimotor_1033999_20260323_122059_boxEphys.csv,AdaptSensorimotor_1033999_20260323_122059_boxEphys.csv,F,Fezf2,trained
1033999,2,20260325,2026-03-25 12:44:36,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033999\Behavior\20260325\AdaptSensorimotor_1033999_20260325_124436_boxEphys.csv,AdaptSensorimotor_1033999_20260325_124436_boxEphys.csv,F,Fezf2,trained
1038513,2,20260317,2026-03-17 11:06:18,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1038513\Behavior\20260317\AdaptSensorimotor_1038513_20260317_110618_boxEphys.csv,AdaptSensorimotor_1038513_20260317_110618_boxEphys.csv,M,Fmr1-Fezf2,naive
1038513,2,20260319,2026-03-19 09:49:40,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1038513\Behavior\20260319\AdaptSensorimotor_1038513_20260319_094940_boxEphys.csv,AdaptSensorimotor_1038513_20260319_094940_boxEphys.csv,M,Fmr1-Fezf2,naive
