animal,sex,strain,cohort,session_date,stage,filename,total_trials,n_blocks,n_sound_blocks,n_action_right_blocks,n_action_left_blocks,mean_trials_until_switch,mean_latency,n_omissions
1060141,F,Fmr1-Fezf2,3,20260624,naive,AdaptSensorimotor_1060141_20260624_124029_boxEphys.csv,711,11,6,3,2,64.63636363636364,0.03213172692518968,58
1060141,F,Fmr1-Fezf2,3,20260626,naive,AdaptSensorimotor_1060141_20260626_131427_boxEphys.csv,687,12,6,3,3,57.25,0.11556378282639423,167
1060148,F,Fmr1-Tlx3,3,20260609,naive,AdaptSensorimotor_1060148_20260609_152127_boxEphys.csv,724,12,6,3,3,60.333333333333336,0.0826148193501917,90
1060148,F,Fmr1-Tlx3,3,20260611,naive,AdaptSensorimotor_1060148_20260611_151935_boxEphys.csv,760,14,7,3,4,54.285714285714285,0.08958257684028555,37
1020227,M,Tlx3,2,20260304,naive,AdaptSensorimotor_1020227_20260304_102643_boxEphys.csv,682,10,5,2,3,68.2,0.27243715134250024,161
1020227,M,Tlx3,2,20260306,naive,AdaptSensorimotor_1020227_20260306_095315_boxEphys.csv,665,6,3,2,1,110.83333333333333,0.4329804537985562,182
1020228,M,Tlx3,2,20260317,naive,AdaptSensorimotor_1020228_20260317_091007_boxEphys.csv,453,4,2,1,1,113.25,0.3656762905002381,250
1031912,M,Tlx3,2,20260303,naive,AdaptSensorimotor_1031912_20260303_094548_boxEphys.csv,653,8,4,2,2,81.625,0.42350694695873375,252
1031912,M,Tlx3,2,20260305,naive,AdaptSensorimotor_1031912_20260305_093656_boxEphys.csv,692,18,9,4,5,38.44444444444444,0.3412190481192536,54
1031913,M,Tlx3,2,20260303,naive,AdaptSensorimotor_1031913_20260303_123758_boxEphys.csv,608,5,3,1,1,121.6,0.5936949622246527,242
1031913,M,Tlx3,2,20260305,naive,AdaptSensorimotor_1031913_20260305_122323_boxEphys.csv,661,10,5,3,2,66.1,0.28512786829246667,49
1060358,F,Tlx3,3,20260601,naive,AdaptSensorimotor_1060358_20260601_121120_boxEphys.csv,633,14,7,3,4,45.214285714285715,0.27033098980232523,88
1060358,F,Tlx3,3,20260602,naive,AdaptSensorimotor_1060358_20260602_123624_boxEphys.csv,703,13,7,3,3,54.07692307692308,0.30815553551085256,221
1060359,F,Tlx3,3,20260624,naive,AdaptSensorimotor_1060359_20260624_151922_boxEphys.csv,321,6,3,2,1,53.5,0.1656506264463384,146
1060359,F,Tlx3,3,20260626,naive,AdaptSensorimotor_1060359_20260626_155621_boxEphys.csv,678,8,4,2,2,84.75,0.2241816473291598,106
1060360,F,Tlx3,3,20260519,naive,AdaptSensorimotor_1060360_20260519_104401_boxEphys.csv,346,1,1,0,0,346.0,0.3841824633734567,235
1060360,F,Tlx3,3,20260521,naive,AdaptSensorimotor_1060360_20260521_105818_boxEphys.csv,652,3,2,1,0,217.33333333333334,0.1934897450839772,77
986235,F,Tlx3,1,20251125,naive,AdaptSensorimotor_986235_20251125_110652_boxEphys.csv,476,4,2,1,1,119.0,-0.7584877798221256,280
986235,F,Tlx3,1,20251202,naive,AdaptSensorimotor_986235_20251202_103444_boxEphys.csv,693,8,4,2,2,86.625,0.14885496183206107,102
999770,M,Tlx3,1,20251111,naive,AdaptSensorimotor_999770_20251111_143934_boxEphys.csv,659,8,4,2,2,82.375,-0.9597565833053026,59
999770,M,Tlx3,1,20251111,naive,AdaptSensorimotor_999770_20251111_143934_boxEphys_old.csv,659,8,4,2,2,82.375,-0.9597565833053026,59
999770,M,Tlx3,1,20251112,naive,AdaptSensorimotor_999770_20251112_123135_boxEphys.csv,416,1,1,0,0,416.0,-1.5248337990015894,176
1033993,M,Fezf2,2,20260323,trained,AdaptSensorimotor_1033993_20260323_093148_boxEphys.csv,638,12,6,3,3,53.166666666666664,0.1800470735345568,182
1033993,M,Fezf2,2,20260325,trained,AdaptSensorimotor_1033993_20260325_095450_boxEphys.csv,610,14,7,4,3,43.57142857142857,0.14272532593416462,111
1033996,F,Fezf2,2,20260324,trained,AdaptSensorimotor_1033996_20260324_090522_boxEphys.csv,435,4,2,1,1,108.75,0.9297139156948436,302
1033996,F,Fezf2,2,20260326,trained,AdaptSensorimotor_1033996_20260326_100103_boxEphys.csv,511,4,2,1,1,127.75,0.7785598422799792,346
1033999,F,Fezf2,2,20260323,trained,AdaptSensorimotor_1033999_20260323_122059_boxEphys.csv,743,17,9,4,4,43.705882352941174,0.10899856768972506,54
1033999,F,Fezf2,2,20260325,trained,AdaptSensorimotor_1033999_20260325_124436_boxEphys.csv,760,21,11,5,5,36.19047619047619,0.06116475552991272,64
1061220,F,Fezf2,3,20260608,trained,AdaptSensorimotor_1061220_20260608_152811_boxEphys.csv,617,17,9,4,4,36.294117647058826,0.3076417889257874,60
1061220,F,Fezf2,3,20260610,trained,AdaptSensorimotor_1061220_20260610_150915_boxEphys.csv,635,13,7,3,3,48.84615384615385,0.17813522749782157,136
1061233,M,Fezf2,3,20260608,trained,AdaptSensorimotor_1061233_20260608_124904_boxEphys.csv,681,16,8,4,4,42.5625,0.08694326316100964,56
1061233,M,Fezf2,3,20260610,trained,AdaptSensorimotor_1061233_20260610_121350_boxEphys.csv,713,14,7,3,4,50.92857142857143,0.07584508287927524,73
1061234,M,Fezf2,3,20260609,trained,AdaptSensorimotor_1061234_20260609_122157_boxEphys.csv,697,15,8,4,3,46.46666666666667,0.06436620864801122,52
1061234,M,Fezf2,3,20260612,trained,AdaptSensorimotor_1061234_20260612_093041_boxEphys.csv,633,17,9,4,4,37.23529411764706,0.09455478486448231,163
986167,M,Fezf2,1,20251210,trained,AdaptSensorimotor_986167_20251210_104215_boxEphys.csv,685,11,6,2,3,62.27272727272727,-0.6640543040879275,289
986167,M,Fezf2,1,20251211,trained,AdaptSensorimotor_986167_20251211_163021_boxEphys.csv,670,8,4,2,2,83.75,-0.8916820034836278,242
986168,M,Fezf2,1,20251210,trained,AdaptSensorimotor_986168_20251210_135142_boxEphys.csv,615,3,2,0,1,205.0,-0.8976280820369721,353
986168,M,Fezf2,1,20251212,trained,AdaptSensorimotor_986168_20251212_131927_boxEphys.csv,412,4,2,1,1,103.0,-0.7837262439056182,226
986170,M,Fezf2,1,20251209,trained,AdaptSensorimotor_986170_20251209_133515_boxEphys.csv,726,15,8,3,4,48.4,-0.778821357630067,68
986170,M,Fezf2,1,20251211,trained,AdaptSensorimotor_986170_20251211_110945_boxEphys.csv,693,9,5,2,2,77.0,-0.7819360086860739,174
986171,F,Fezf2,1,20251212,trained,AdaptSensorimotor_986171_20251212_104852_boxEphys.csv,673,6,3,2,1,112.16666666666667,-1.191510678718449,67
1021218,F,Fmr1-Fezf2,2,20260323,trained,AdaptSensorimotor_1021218_20260323_150148_boxEphys.csv,612,3,2,1,0,204.0,0.14544656765965763,245
1021218,F,Fmr1-Fezf2,2,20260325,trained,AdaptSensorimotor_1021218_20260325_155135_boxEphys.csv,686,5,3,1,1,137.2,0.21696355265955772,186
1021219,F,Fmr1-Fezf2,2,20260331,trained,AdaptSensorimotor_1021219_20260331_124312_boxEphys.csv,204,1,1,0,0,204.0,0.5300859521936487,132
1021219,F,Fmr1-Fezf2,2,20260402,trained,AdaptSensorimotor_1021219_20260402_123030_boxEphys.csv,438,4,2,1,1,109.5,0.1512819396124946,110
1038513,M,Fmr1-Fezf2,2,20260331,trained,AdaptSensorimotor_1038513_20260331_094625_boxEphys.csv,668,9,5,2,2,74.22222222222223,0.2944655226336585,239
1038513,M,Fmr1-Fezf2,2,20260402,trained,AdaptSensorimotor_1038513_20260402_095251_boxEphys.csv,646,12,6,3,3,53.833333333333336,0.23692479770477504,288
1053833,M,Fmr1-Fezf2,3,20260608,trained,AdaptSensorimotor_1053833_20260608_095743_boxEphys.csv,720,19,10,5,4,37.89473684210526,0.06572758475231004,30
1053833,M,Fmr1-Fezf2,3,20260610,trained,AdaptSensorimotor_1053833_20260610_091606_boxEphys.csv,688,15,8,3,4,45.86666666666667,0.09889478134173973,212
1053835,M,Fmr1-Fezf2,3,20260623,trained,AdaptSensorimotor_1053835_20260623_130133_boxEphys.csv,469,1,1,0,0,469.0,0.46430138225105877,123
1053835,M,Fmr1-Fezf2,3,20260625,trained,AdaptSensorimotor_1053835_20260625_132715_boxEphys.csv,613,13,7,3,3,47.15384615384615,0.32862777340389604,13
1060138,F,Fmr1-Fezf2,3,20260609,trained,AdaptSensorimotor_1060138_20260609_095337_boxEphys.csv,405,2,1,0,1,202.5,0.2491717884937922,316
1060138,F,Fmr1-Fezf2,3,20260611,trained,AdaptSensorimotor_1060138_20260611_101256_boxEphys.csv,477,9,5,2,2,53.0,0.30751674271485196,208
1060148,F,Fmr1-Tlx3,3,20260623,trained,AdaptSensorimotor_1060148_20260623_100202_boxEphys.csv,733,17,9,4,4,43.11764705882353,0.07963696047396643,101
1060148,F,Fmr1-Tlx3,3,20260625,trained,AdaptSensorimotor_1060148_20260625_104804_boxEphys.csv,636,13,7,3,3,48.92307692307692,0.10537058684095066,178
1020227,M,Tlx3,2,20260316,trained,AdaptSensorimotor_1020227_20260316_094306_boxEphys.csv,679,11,6,2,3,61.72727272727273,0.2922681450109462,124
1020227,M,Tlx3,2,20260318,trained,AdaptSensorimotor_1020227_20260318_092910_boxEphys.csv,725,21,11,5,5,34.523809523809526,0.13939441011307088,37
1031912,M,Tlx3,2,20260317,trained,AdaptSensorimotor_1031912_20260317_134212_boxEphys.csv,735,19,10,4,5,38.68421052631579,0.2019006669052004,22
1031912,M,Tlx3,2,20260319,trained,AdaptSensorimotor_1031912_20260319_124035_boxEphys.csv,743,20,10,5,5,37.15,0.25184748692441106,65
1031913,M,Tlx3,2,20260316,trained,AdaptSensorimotor_1031913_20260316_125101_boxEphys.csv,659,14,7,3,4,47.07142857142857,0.3846500895044825,23
1060358,F,Tlx3,3,20260608,trained,AdaptSensorimotor_1060358_20260608_095350_box1.csv,674,15,8,4,3,44.93333333333333,0.1707476518168953,135
1060358,F,Tlx3,3,20260612,trained,AdaptSensorimotor_1060358_20260612_121907_boxEphys.csv,633,8,4,2,2,79.125,0.24432300495845016,383
1060360,F,Tlx3,3,20260601,trained,AdaptSensorimotor_1060360_20260601_092335_boxEphys.csv,669,17,9,4,4,39.35294117647059,0.1516055062649742,99
1060360,F,Tlx3,3,20260602,trained,AdaptSensorimotor_1060360_20260602_092622_boxEphys.csv,694,17,9,4,4,40.8235294117647,0.15772270337315916,103
986235,F,Tlx3,1,20251209,trained,AdaptSensorimotor_986235_20251209_161426_boxEphys.csv,656,13,7,3,3,50.46153846153846,-1.2379491577823292,46
986235,F,Tlx3,1,20251211,trained,AdaptSensorimotor_986235_20251211_134257_boxEphys.csv,612,14,7,4,3,43.714285714285715,-0.9474336149600836,133
999770,M,Tlx3,1,20251206,trained,AdaptSensorimotor_999770_20251206_095718_boxEphys.csv,718,24,12,6,6,29.916666666666668,0.047244094488188976,11
999770,M,Tlx3,1,20251209,trained,AdaptSensorimotor_999770_20251209_104142_boxEphys.csv,725,24,12,6,6,30.208333333333332,-0.7728540881962691,34
